# sw_down lw_down tot_rain tot_snow t wind pstar q
6.0965e-04 3.0144e+02 0.0000e+00 0.0000e+00 2.7080e+02 2.0698e+00 9.8590e+04 3.0409e-03
0.0000e+00 2.8971e+02 0.0000e+00 0.0000e+00 2.6936e+02 1.9853e+00 9.8677e+04 2.6714e-03
0.0000e+00 2.9006e+02 0.0000e+00 0.0000e+00 2.6932e+02 1.8492e+00 9.8644e+04 2.6626e-03
1.2177e+01 3.0505e+02 9.3084e-06 0.0000e+00 2.7084e+02 1.5127e+00 9.8674e+04 2.8386e-03
1.3918e+02 2.9856e+02 0.0000e+00 0.0000e+00 2.7455e+02 1.4580e+00 9.8635e+04 3.3205e-03
8.3002e+01 2.9348e+02 0.0000e+00 0.0000e+00 2.7390e+02 1.2726e+00 9.8643e+04 3.5450e-03
5.7018e-01 2.5522e+02 0.0000e+00 0.0000e+00 2.7222e+02 1.4770e+00 9.8639e+04 3.2561e-03
0.0000e+00 2.4019e+02 0.0000e+00 0.0000e+00 2.7041e+02 1.8965e+00 9.8606e+04 2.9186e-03
0.0000e+00 2.6115e+02 0.0000e+00 0.0000e+00 2.6944e+02 2.2281e+00 9.8388e+04 2.6439e-03
0.0000e+00 2.5080e+02 0.0000e+00 0.0000e+00 2.6919e+02 2.7531e+00 9.8352e+04 2.5148e-03
0.0000e+00 2.3733e+02 0.0000e+00 0.0000e+00 2.6965e+02 3.1532e+00 9.8147e+04 2.4992e-03
3.3708e+01 2.5618e+02 0.0000e+00 0.0000e+00 2.7346e+02 3.6326e+00 9.8079e+04 2.9104e-03
1.5704e+02 2.8715e+02 3.5955e-05 0.0000e+00 2.7834e+02 5.3200e+00 9.8011e+04 3.5802e-03
3.7723e+01 3.2062e+02 8.9909e-05 0.0000e+00 2.7735e+02 6.0999e+00 9.8086e+04 4.1546e-03
2.8971e-02 3.3929e+02 2.7355e-05 0.0000e+00 2.7680e+02 6.0310e+00 9.8189e+04 4.1533e-03
0.0000e+00 3.2666e+02 2.3812e-05 0.0000e+00 2.7583e+02 5.7564e+00 9.8370e+04 4.2539e-03
9.2530e-04 3.2629e+02 1.7360e-05 0.0000e+00 2.7497e+02 5.5194e+00 9.8405e+04 4.0784e-03
0.0000e+00 3.1416e+02 1.0047e-05 0.0000e+00 2.7217e+02 4.1161e+00 9.8431e+04 3.3508e-03
